,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats
972,2016,1350000,25000,Diesel,Individual,Manual,First Owner,16.0,2179,140.0,7
973,2013,295000,82246,Petrol,Dealer,Manual,First Owner,20.36,1197,78.9,5
974,2005,310000,200000,Diesel,Individual,Manual,Second Owner,12.8,2494,102.0,8
975,2015,1050000,90000,Diesel,Individual,Manual,First Owner,15.4,2179,120.0,7
976,2017,2950000,50000,Diesel,Individual,Automatic,First Owner,15.04,2755,174.5,7
977,2018,340000,120000,Petrol,Individual,Manual,First Owner,20.3,998,68.05,5
978,2014,600000,90000,Diesel,Individual,Manual,First Owner,23.4,1248,74.0,5
979,2006,200000,60000,Petrol,Individual,Manual,Third Owner,11.9,2354,144.0,5
980,2018,480000,40000,Petrol,Individual,Manual,First Owner,20.14,1197,81.86,5
981,2001,33983,80000,Petrol,Individual,Manual,Second Owner,19.369999999999997,1248,81.86,5
982,2012,415000,108000,Diesel,Individual,Manual,First Owner,19.3,1248,73.9,5
983,2011,380000,80000,Diesel,Individual,Manual,First Owner,13.6,2523,63.0,7
984,2012,300000,70000,Diesel,Individual,Manual,First Owner,23.2,1248,73.94,5
985,2006,158000,140000,Petrol,Individual,Manual,Third Owner,17.7,1497,78.0,5
986,2013,459999,60000,Diesel,Individual,Manual,Second Owner,21.27,1396,88.76,5
987,2013,227999,60000,Diesel,Individual,Manual,Second Owner,25.0,1396,69.01,5
988,2014,240000,50000,Petrol,Individual,Manual,First Owner,22.74,796,47.3,5
989,2008,135000,90000,Petrol,Individual,Manual,Second Owner,18.9,998,67.1,5
990,2007,95000,70000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5
991,2012,376000,26000,Petrol,Individual,Manual,First Owner,19.4,1198,86.8,5
992,2006,85000,150000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5
993,1999,52000,100000,Petrol,Individual,Manual,First Owner,16.1,796,37.0,4
994,2010,240000,143000,Petrol,Individual,Manual,First Owner,17.5,1298,85.8,5
995,2008,250000,100000,Petrol,Individual,Manual,Second Owner,19.81,1086,68.05,5
996,2017,440000,50000,Petrol,Individual,Manual,Second Owner,18.6,1197,81.83,5
997,2009,340000,40000,Diesel,Individual,Manual,First Owner,23.0,1396,90.0,5
998,2012,350000,25000,Petrol,Individual,Manual,First Owner,20.36,1197,78.9,5
999,2016,700000,110000,Diesel,Individual,Manual,First Owner,26.0,1498,98.6,5
